timestamp,img_size,model_name,map50,map50_95,precision,recall,f1_score
20250412_012522,256,yolo11n,0.5514687534294097,0.4088086827545277,0.79508,0.54508,0.646761888729704
20250412_013230,512,yolo11n,0.7432174718298324,0.651077391080254,0.84186,0.68803,0.7572112188457993
20250412_014149,640,yolo11n,0.7480028869712072,0.6879571471708241,0.9173,0.64471,0.7572198423825712
