epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3276,2.02951,3.38388,0.98103,0.00263,0.11188,0.04099,0.01476,2.29929,3.21757,0.92121,0.07822,0.00022,0.00022
2,25.2856,1.47434,1.94673,0.87057,0.05545,0.21839,0.11159,0.05564,1.72426,2.79124,0.858,0.0554411,0.00044109,0.00044109
3,33.1262,1.42763,1.73296,0.85549,0.01771,0.48481,0.15211,0.0889,1.40703,2.52684,0.83989,0.0326531,0.000653072,0.000653072
4,42.0823,1.29452,1.47756,0.84518,0.51094,0.13677,0.19891,0.1282,1.22804,1.73916,0.8321,0.00985595,0.000855946,0.000855946
5,50.7839,1.2498,1.35907,0.83666,0.50795,0.16514,0.23086,0.14732,1.20312,1.58501,0.8294,0.0009208,0.0009208,0.0009208
6,59.4062,1.25106,1.30616,0.84097,0.42937,0.21035,0.25525,0.16591,1.17171,1.3676,0.82794,0.000901,0.000901,0.000901
7,68.4632,1.1935,1.25487,0.83095,0.42163,0.29225,0.26924,0.17784,1.18508,1.20925,0.82274,0.0008812,0.0008812,0.0008812
8,77.4135,1.20706,1.21893,0.82719,0.45142,0.31069,0.31207,0.21596,1.04932,1.0576,0.8164,0.0008614,0.0008614,0.0008614
9,85.0346,1.14744,1.16813,0.82471,0.48527,0.30914,0.35118,0.23671,1.09587,0.98636,0.81543,0.0008416,0.0008416,0.0008416
10,94.0359,1.1186,1.09901,0.82858,0.49719,0.35659,0.38125,0.26293,1.05955,0.96419,0.81932,0.0008218,0.0008218,0.0008218
11,102.575,1.11954,1.05311,0.827,0.66517,0.41132,0.42461,0.29153,1.00673,0.90205,0.81368,0.000802,0.000802,0.000802
12,110.471,1.12105,1.02626,0.82227,0.73457,0.37596,0.42616,0.29144,1.01079,0.9726,0.81186,0.0007822,0.0007822,0.0007822
13,119.307,1.12352,1.01194,0.82951,0.7319,0.38508,0.44139,0.29879,1.04678,0.84664,0.81256,0.0007624,0.0007624,0.0007624
14,127.347,1.0384,0.96188,0.82167,0.60181,0.47891,0.43998,0.29006,1.04832,0.87638,0.81242,0.0007426,0.0007426,0.0007426
15,135.702,1.06377,0.95612,0.82239,0.61155,0.47841,0.44314,0.28558,1.08824,0.87992,0.81235,0.0007228,0.0007228,0.0007228
16,144.485,1.08627,0.93534,0.81781,0.63052,0.50946,0.48258,0.32889,0.96982,0.813,0.81174,0.000703,0.000703,0.000703
17,152.138,1.07844,0.92913,0.82364,0.64857,0.48091,0.48928,0.34837,0.91559,0.7789,0.80921,0.0006832,0.0006832,0.0006832
18,160.827,1.02834,0.8804,0.81808,0.68367,0.4679,0.49481,0.3459,0.92555,0.75481,0.8064,0.0006634,0.0006634,0.0006634
19,169.383,1.02935,0.88471,0.81663,0.66139,0.51799,0.48989,0.34843,0.89981,0.76703,0.8053,0.0006436,0.0006436,0.0006436
20,177.211,1.01589,0.89502,0.82044,0.68178,0.50852,0.50006,0.34776,0.94185,0.74703,0.80609,0.0006238,0.0006238,0.0006238
21,186.338,0.98414,0.85871,0.81218,0.70303,0.5243,0.49795,0.35616,0.89991,0.73881,0.8036,0.000604,0.000604,0.000604
22,194.766,0.97139,0.82863,0.81613,0.66311,0.52167,0.50933,0.35888,0.92182,0.73474,0.80443,0.0005842,0.0005842,0.0005842
23,202.609,0.95668,0.8427,0.80992,0.68363,0.49549,0.51578,0.36501,0.88501,0.72739,0.80348,0.0005644,0.0005644,0.0005644
24,211.442,0.97656,0.81639,0.81384,0.69735,0.50655,0.5015,0.34772,0.9143,0.775,0.80227,0.0005446,0.0005446,0.0005446
25,219.384,0.94685,0.83006,0.80446,0.69306,0.50757,0.5041,0.35637,0.8942,0.75433,0.80103,0.0005248,0.0005248,0.0005248
26,227.74,0.94676,0.80261,0.81595,0.74273,0.48613,0.50749,0.3342,1.02808,0.74162,0.80732,0.000505,0.000505,0.000505
27,236.468,0.95704,0.81415,0.81361,0.75914,0.49024,0.51393,0.36443,0.86876,0.70997,0.80095,0.0004852,0.0004852,0.0004852
28,244.061,1.01006,0.81096,0.81155,0.74993,0.51092,0.53146,0.37521,0.86748,0.70475,0.80211,0.0004654,0.0004654,0.0004654
29,253.009,0.9539,0.77321,0.8116,0.77154,0.52766,0.53649,0.37275,0.88082,0.69484,0.80163,0.0004456,0.0004456,0.0004456
30,262.001,0.96441,0.77106,0.80977,0.73767,0.52958,0.53198,0.37625,0.88234,0.69648,0.80127,0.0004258,0.0004258,0.0004258
31,269.771,0.97991,0.78795,0.80578,0.77595,0.54549,0.5388,0.35837,0.93169,0.68386,0.80323,0.000406,0.000406,0.000406
32,278.425,0.94669,0.75453,0.81019,0.77269,0.53857,0.53576,0.38495,0.83076,0.66326,0.79942,0.0003862,0.0003862,0.0003862
33,286.918,0.89551,0.74083,0.81011,0.77361,0.5364,0.53809,0.37382,0.88862,0.66819,0.80192,0.0003664,0.0003664,0.0003664
34,294.89,0.88464,0.74536,0.81046,0.7163,0.53936,0.52213,0.36247,0.89606,0.67688,0.80119,0.0003466,0.0003466,0.0003466
35,303.415,0.87508,0.71397,0.80548,0.74668,0.54269,0.53298,0.3786,0.83755,0.64346,0.79936,0.0003268,0.0003268,0.0003268
36,310.992,0.89529,0.72244,0.80988,0.75481,0.54302,0.53824,0.37903,0.82729,0.6537,0.80049,0.000307,0.000307,0.000307
37,319.543,0.88879,0.71871,0.80701,0.76943,0.52313,0.53573,0.37628,0.84336,0.6542,0.80049,0.0002872,0.0002872,0.0002872
38,328.504,0.91311,0.7407,0.8055,0.76356,0.53006,0.53813,0.37973,0.82909,0.64194,0.79991,0.0002674,0.0002674,0.0002674
39,336.538,0.8757,0.70188,0.7995,0.73548,0.54485,0.53129,0.38089,0.81531,0.64973,0.79952,0.0002476,0.0002476,0.0002476
40,345.153,0.8666,0.72825,0.80533,0.74723,0.54944,0.54072,0.38954,0.79179,0.64483,0.79875,0.0002278,0.0002278,0.0002278
41,351.247,0.85594,0.8033,0.80016,0.77391,0.53256,0.5381,0.38793,0.82142,0.67424,0.79988,0.000208,0.000208,0.000208
42,357.65,0.86559,0.74106,0.79332,0.79308,0.51092,0.54637,0.38635,0.80353,0.67932,0.79884,0.0001882,0.0001882,0.0001882
43,363.301,0.85294,0.72258,0.80089,0.78973,0.51142,0.5547,0.39191,0.81297,0.66054,0.79758,0.0001684,0.0001684,0.0001684
44,369.922,0.83633,0.70283,0.79631,0.7685,0.5253,0.55408,0.3981,0.80046,0.6409,0.79721,0.0001486,0.0001486,0.0001486
45,375.493,0.81191,0.6913,0.7993,0.78449,0.54268,0.5503,0.40122,0.78898,0.6179,0.79578,0.0001288,0.0001288,0.0001288
46,382.129,0.82339,0.68358,0.79495,0.78374,0.5424,0.55229,0.39767,0.80736,0.61559,0.79698,0.000109,0.000109,0.000109
47,387.778,0.80572,0.67331,0.79201,0.78449,0.54064,0.55135,0.41108,0.76376,0.60638,0.79489,8.92e-05,8.92e-05,8.92e-05
48,394.576,0.80479,0.66121,0.79571,0.78953,0.53253,0.55123,0.40089,0.78934,0.60887,0.79538,6.94e-05,6.94e-05,6.94e-05
