epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3193,1.25978,2.89546,0.93493,0.00318,0.13555,0.08315,0.0534,0.86331,3.31263,0.85465,0.07822,0.00022,0.00022
2,34.5573,0.78255,1.59479,0.84609,0.03326,0.38864,0.22731,0.17424,0.68727,3.28818,0.82411,0.0554411,0.00044109,0.00044109
3,48.1506,0.74328,1.32181,0.84079,0.08296,0.55933,0.26462,0.2103,0.67916,2.73063,0.82492,0.0326531,0.000653072,0.000653072
4,61.8247,0.65425,1.09155,0.82351,0.558,0.27141,0.42858,0.35673,0.62415,1.70532,0.81837,0.00985595,0.000855946,0.000855946
5,75.4166,0.64691,1.00859,0.82043,0.56791,0.28513,0.42046,0.34929,0.63308,1.30983,0.82313,0.0009208,0.0009208,0.0009208
6,88.9522,0.62396,0.912,0.8163,0.68661,0.48977,0.54719,0.45984,0.5632,0.93307,0.81644,0.000901,0.000901,0.000901
7,102.716,0.58523,0.83998,0.81644,0.70081,0.54371,0.55437,0.48897,0.50602,0.76897,0.80688,0.0008812,0.0008812,0.0008812
8,116.402,0.58995,0.80238,0.81252,0.70421,0.59736,0.59882,0.52084,0.50816,0.67659,0.80685,0.0008614,0.0008614,0.0008614
9,129.837,0.56617,0.76946,0.80886,0.76126,0.58489,0.5947,0.52787,0.46317,0.63768,0.80443,0.0008416,0.0008416,0.0008416
10,143.438,0.54003,0.73818,0.80683,0.79966,0.55277,0.60488,0.54627,0.44433,0.60332,0.80132,0.0008218,0.0008218,0.0008218
11,157.007,0.51547,0.68124,0.80671,0.75318,0.61988,0.61648,0.55269,0.44194,0.58745,0.79906,0.000802,0.000802,0.000802
12,170.673,0.5102,0.66477,0.80224,0.78286,0.6129,0.63138,0.56173,0.44009,0.53912,0.79757,0.0007822,0.0007822,0.0007822
13,184.424,0.50002,0.65797,0.80303,0.8206,0.59658,0.63375,0.56792,0.4314,0.58603,0.79569,0.0007624,0.0007624,0.0007624
14,198.082,0.47769,0.64068,0.80257,0.83323,0.60851,0.64971,0.58409,0.40826,0.52034,0.79699,0.0007426,0.0007426,0.0007426
15,211.54,0.47767,0.61674,0.80103,0.76537,0.66857,0.65241,0.58259,0.41985,0.55676,0.79926,0.0007228,0.0007228,0.0007228
16,225.055,0.48656,0.62331,0.79976,0.71091,0.64536,0.64631,0.57066,0.40682,0.52999,0.7976,0.000703,0.000703,0.000703
17,238.634,0.47991,0.60148,0.79822,0.77594,0.63324,0.65278,0.57987,0.42707,0.50783,0.79574,0.0006832,0.0006832,0.0006832
18,252.207,0.47192,0.58071,0.8004,0.80413,0.65423,0.66191,0.59825,0.39087,0.47668,0.79504,0.0006634,0.0006634,0.0006634
19,265.996,0.47415,0.5597,0.79896,0.75623,0.65273,0.65358,0.59399,0.39453,0.48584,0.79481,0.0006436,0.0006436,0.0006436
20,280.049,0.47717,0.57372,0.79897,0.75154,0.6544,0.66051,0.59291,0.38732,0.47326,0.79237,0.0006238,0.0006238,0.0006238
21,293.723,0.45048,0.5654,0.79607,0.81689,0.63451,0.68029,0.60975,0.4007,0.48012,0.79408,0.000604,0.000604,0.000604
22,307.704,0.44933,0.5471,0.79561,0.83933,0.6203,0.67773,0.61592,0.38169,0.46595,0.79185,0.0005842,0.0005842,0.0005842
23,322.042,0.44125,0.5408,0.79465,0.78837,0.67976,0.67678,0.61318,0.37525,0.45598,0.79409,0.0005644,0.0005644,0.0005644
24,335.807,0.43858,0.52958,0.79205,0.83499,0.63518,0.6861,0.61964,0.36499,0.47353,0.79158,0.0005446,0.0005446,0.0005446
25,349.582,0.42901,0.53348,0.79146,0.85853,0.67649,0.69352,0.63025,0.35965,0.45994,0.79042,0.0005248,0.0005248,0.0005248
26,363.31,0.4154,0.52144,0.79354,0.79381,0.65923,0.69433,0.63195,0.35699,0.48407,0.78931,0.000505,0.000505,0.000505
27,377.202,0.42605,0.52999,0.78919,0.80713,0.69864,0.69741,0.63272,0.36269,0.4594,0.79134,0.0004852,0.0004852,0.0004852
28,390.864,0.44176,0.53104,0.7922,0.75972,0.70961,0.6971,0.63114,0.36016,0.48365,0.78936,0.0004654,0.0004654,0.0004654
29,404.879,0.42856,0.50806,0.7913,0.84284,0.68716,0.70265,0.63845,0.36172,0.44532,0.78953,0.0004456,0.0004456,0.0004456
30,418.758,0.41811,0.49522,0.78932,0.8583,0.64305,0.70778,0.63938,0.34874,0.44441,0.78823,0.0004258,0.0004258,0.0004258
31,432.458,0.43339,0.50058,0.79112,0.84243,0.65357,0.71711,0.6493,0.3559,0.43272,0.78818,0.000406,0.000406,0.000406
32,446.121,0.40943,0.49958,0.78826,0.88698,0.65004,0.71256,0.65156,0.34573,0.43183,0.7879,0.0003862,0.0003862,0.0003862
33,459.884,0.39941,0.48583,0.78985,0.79432,0.70579,0.70106,0.64459,0.35184,0.43517,0.78845,0.0003664,0.0003664,0.0003664
34,473.68,0.40489,0.4867,0.78802,0.87667,0.63508,0.71162,0.65027,0.34834,0.43558,0.78943,0.0003466,0.0003466,0.0003466
35,486.982,0.40573,0.47151,0.78974,0.89552,0.652,0.71508,0.65651,0.35175,0.41667,0.7877,0.0003268,0.0003268,0.0003268
