epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,500.574,0.40785,0.48013,0.78979,0.85853,0.66161,0.72536,0.66113,0.33888,0.43215,0.78795,0.000307,0.000307,0.000307
37,514.073,0.4086,0.47627,0.79376,0.87512,0.68583,0.72537,0.66626,0.34419,0.41225,0.78779,0.0002872,0.0002872,0.0002872
38,527.903,0.4126,0.47173,0.79011,0.84133,0.70387,0.73284,0.67378,0.33761,0.4112,0.78634,0.0002674,0.0002674,0.0002674
39,541.632,0.39932,0.454,0.79187,0.8624,0.69529,0.74804,0.68414,0.33234,0.39911,0.78628,0.0002476,0.0002476,0.0002476
40,555.202,0.39767,0.47165,0.79141,0.88147,0.68101,0.7335,0.66905,0.33893,0.40338,0.78702,0.0002278,0.0002278,0.0002278
41,567.339,0.40083,0.50695,0.78504,0.85271,0.70104,0.74268,0.66515,0.36018,0.47507,0.79411,0.000208,0.000208,0.000208
42,578.677,0.3875,0.47124,0.78376,0.83873,0.69863,0.71486,0.65401,0.33703,0.41462,0.78802,0.0001882,0.0001882,0.0001882
43,590.389,0.37044,0.46989,0.78399,0.89805,0.68006,0.71915,0.65592,0.33645,0.42549,0.7875,0.0001684,0.0001684,0.0001684
44,601.701,0.37122,0.45099,0.78404,0.86447,0.67247,0.71848,0.65683,0.337,0.40672,0.7875,0.0001486,0.0001486,0.0001486
45,612.846,0.35976,0.43969,0.78668,0.91215,0.64885,0.71815,0.65658,0.33421,0.41256,0.78709,0.0001288,0.0001288,0.0001288
46,624.112,0.36359,0.43517,0.78679,0.84904,0.68826,0.71879,0.65867,0.33077,0.41309,0.78695,0.000109,0.000109,0.000109
47,634.814,0.35697,0.42578,0.77745,0.88695,0.67105,0.71941,0.65906,0.33089,0.39759,0.78666,8.92e-05,8.92e-05,8.92e-05
48,645.969,0.35849,0.42687,0.78012,0.88759,0.67318,0.7174,0.65749,0.32404,0.39111,0.78597,6.94e-05,6.94e-05,6.94e-05
49,657.269,0.35413,0.41399,0.77808,0.9173,0.64471,0.71656,0.65817,0.31853,0.39256,0.78575,4.96e-05,4.96e-05,4.96e-05
